user,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
caiocampos,0.016886547662893617,0.03690042911864507,0.005776866690346473,0.006473923891046781,0.005306641843899703,0.011733828473406134
tr-secgeo,0.0016610091241546126,0.001071354237148252,0.0,0.002326689520754743,0.0009210136241003306,0.00019372993518619182
ValenValine,9.196581354204791e-05,0.0002609838821781663,0.0,0.019051046797893215,0.0030261497659232217,0.0009619578906029928
JagaChirag1,0.003968739987464702,0.0,0.05197310570417356,0.0006680961721983883,0.0002690036316620796,1.4016855746351302e-05
Rahim-Dashti,0.005456306145812182,0.0,0.0,0.03722950614254084,0.02762073089841497,0.0018602572964616566
kxndemir,0.0,0.0007691289344593427,0.010404408314286092,0.0057439303782594936,0.0005199599272353326,0.0
SELIMCNR,0.0019448669627851448,0.0,0.0,0.00627798325391339,0.01087137743803837,0.0005983904866325682
gold0518,0.00022610757134348185,0.0,7.154165893761834e-06,0.0006885253798851436,9.32589503375072e-05,0.0
ryanfavour4,0.02457827282794006,0.0,0.0,0.007890619786953334,0.034473681612310604,0.0
0xr0ss,0.0,0.0,0.0,0.003933800324412395,0.0,0.0
aliirzid1992,0.0044254603317690445,0.0037123431083449844,0.012117723469684307,0.0571600266825902,0.008567331823458563,0.0
Antonio-112,0.0,0.0030080751469388433,0.03233597940693099,0.011243599844946146,0.0008792455303047593,0.0025409284734611132
cyb3Rs0c,0.0,0.0,0.0,0.07329467486153522,0.0,0.0
raulsanmartinuuc,0.009607234941529992,0.0,0.002428181776069496,0.043175358522935664,0.0,0.0
milan8008,0.004158087932352869,0.0016948807756599026,0.001453544542464885,0.0888744310651998,0.00530649571517239,0.0
YigitEsmen,0.036525052820837706,0.0,0.0,0.0,0.0,0.0
mateusvpassos,0.009824044694042171,0.004680451416482593,0.0,0.012197938635925233,0.0,0.028288333865450564
lucaspereirasouzat,0.06382898700793775,0.05701904563347648,0.01564032431709427,0.0007148300345215075,0.0,0.0037890794485651606
jazdmiller,0.034617601615454754,0.0,0.0,0.0,0.09809517980383492,0.0
ada8fshr,0.016969170444081902,0.01939003854313561,0.00593994026405769,0.06316082935637661,0.029462282129217403,0.0029430404333907977
AnuragNagare,0.0,0.0,0.0,0.039675113325862515,0.0,0.0
pdumonte,0.0,0.0,0.0,0.0045692880855216994,0.07654281922709706,0.0
huzgrx,0.08269385132526703,0.0,0.0,0.0,0.0,0.0006178135188443511
BILLKOLOS,0.0,0.0,0.005186348845553723,0.04593440381707861,0.0,0.00019925997591681237
Gabtech1,0.0,0.15915771422132782,0.0,0.0,0.0,0.0
rmoujan,0.0222568881240459,0.0,0.0,0.046205396893608794,0.027086924356122036,0.0
lucaszaningraciano,0.0,0.0,0.0,0.0,0.23742572776947637,0.0
Thaliaraujo,0.0,0.07284071285490426,0.0028165859836439904,0.0,0.09396178099345512,0.0
buemura,0.06572029366866111,0.0,0.0,0.01787718436321075,0.0,0.0033809457068057856
smartman1234,0.0718186392940837,0.0,0.0,0.025226363926780276,0.011481854365946646,0.0
enzocaudron,0.0,0.0,0.0,0.041350693796585826,0.0,0.0010619783905876734
LucasBorges4,0.0,0.013237900656067931,0.004962549056728628,0.021911294636990875,0.018544424747949147,0.0357519999312899
azharali9,0.00782863495088879,0.0,0.047417299335451774,0.035555091526723155,0.0,0.0027514751612081204
FelipeAlmeida010,0.0020230537560239513,0.06797438189518704,0.011109966472922728,0.0,0.020671668076387657,0.023104581330474005
technologiclee,0.0,0.0,0.0,0.08888333691870232,0.0031736501097708297,0.0
fbiohenrique1,0.006361386995057659,0.01390242357846766,0.0,0.002603783007747692,0.0,0.010536026420757983
DyegoWolf,0.01300878168092352,0.0684158900703209,0.0,0.0,0.0034575537250348134,0.0
hirokisaito912,0.007873200155154005,0.0,0.05376369368933342,0.020679677379638974,0.0,0.001325717233838244
jeo17,0.007235626765799359,1.478937868433426e-05,0.0002920210203138033,0.0007895867435066026,0.0021069474970794267,0.00048536218674369167
basaranseyma,0.0019653954266932354,0.0,0.0,0.021315719815498558,0.018931571366514487,0.0
GessycaBorges,0.0,0.06165440543489653,0.017825240514297583,0.012345721394061454,0.011055810772977981,0.05131347683593061
AHGh1386,0.0017387478111097999,0.0,0.027246778729212807,0.02454607293713492,0.11322892041123438,0.0
BeamlakAschalew,0.05534184893358887,0.0,0.0,0.01014652406506207,0.0,0.0022508034796765936
rarikmilkrai,0.0,0.03939024293386052,0.0,0.008000441812621448,0.0,0.007421421708754301
medazza,0.0,0.0,0.0003619772780725566,0.024988729485626898,0.0,0.0005877173863648139
NimaKhajehpour,0.028671872424347208,0.0,0.0,0.0067744010496311085,0.0,0.0
Barbalho12,0.017380163066957836,0.008567599827094107,0.0,0.0382256019795523,0.01353980178080738,0.002200365549084535
marcielleal,0.005516993154075016,0.005546298879884638,0.0,0.03739294580266906,0.004654142864410059,0.009569530420783002
JohnVict0r,0.03460867939381315,0.06969727623828956,0.0057033395107428985,0.027631016805837953,0.0,0.02090312774716382
0xopsdev,0.0007282198705942005,0.00010378882719098914,0.0,0.015625712828081798,0.0,0.0
flyphoenix31,0.00980237314352814,0.0,0.013206433658308155,0.02423414489726327,0.03484861292808407,0.0
iPankys,0.013168571550834932,0.004113948162341682,0.026338271739761564,0.049025967087354294,0.00933840172239391,0.0026583481501267995
benbobyabraham,0.052034555976085,0.0,0.002948910649693736,0.04710071155213888,0.0014664030974855227,0.0008808746930387113
thyall,0.0,0.0,0.0,0.011442881534382662,0.0035397271394437893,0.03545865459122004
eduardobezerraz,0.0031797837099376797,0.0,0.0,0.0076167153772591705,0.0,0.028620268570207517
mjkats,0.0,0.07418258511702822,0.0,0.004910341816709783,0.0,0.00889118962610615
dougdotcon,0.0,0.03949197791518223,0.0,0.056512370568003144,0.0023489081399566836,0.0369591343874701
shayanizi,0.008787735881936879,0.0,0.0,0.0180768364548065,0.0,0.0
Summair,0.004060328697556912,0.002321666446155249,0.0,0.05260786928165066,0.0,0.0
sefaerkan,0.009471849483882371,0.0,0.0,0.035317375584095846,0.0,5.071949287632539e-05
jawad846,0.0,0.0,0.0,0.02861850356381478,0.0,0.0
lucaase,0.0,0.0,0.0,0.030540168041317532,0.0,0.005974686723399687
Douglas88,0.004681427343255816,0.0011415842685911471,0.0032890512301753634,0.02954405419481196,0.0,0.0
who0sy,0.0,0.0,0.0,0.04229783090961263,0.005075083798178498,0.0
neonek26,0.004278063282367852,0.0,0.012905339448406106,0.022002099051241415,0.07565168963052113,0.0
Igor1208gabriel,0.0,0.01287288386490573,0.0,0.007960205204274864,0.0,0.011002398396743066
ahmadsafirun,0.0,0.0,0.0,0.059013160961512226,0.007232382822772175,0.0
wendellmeset,0.006820293934586156,0.000584661261156781,0.011126013134903075,0.023700871723200533,0.0032638458453534067,0.0021291453988260315
mthlssn,0.0,0.017603173403243196,0.0,0.007656367277624218,0.006573068533835329,0.017559376718524478
